"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","abund_value","abund_unit","lng","lat","paleomodel","paleolng","paleolat","geoplate"
"786788","occ","","","84887","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.439720","33.361389","gp_mid","","",""
"786789","occ","","","84888","Cetacea indet.","order","36652","","Cetacea","order","36652","Late Pleistocene","","0.126","0.0117","2018","","","-118.199997","34.000000","gp_mid","-118.20","34.00","105"
"786791","occ","","","84890","Cetacea indet.","order","36652","","Cetacea","order","36652","Holocene","","0.0117","0","2018","","","-118.355835","34.062778","gp_mid","-118.36","34.06","105"
"786792","occ","","","84891","cf. Lissodelphis sp.","genus","63570","","Lissodelphis","genus","63570","Rancholabrean","","0.3","0.012","2018","","","-118.500000","32.900002","gp_mid","","",""
"786795","occ","","","20639","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Late Pleistocene","","0.126","0.0117","2018","","","-118.000000","34.000000","gp_mid","-118.00","34.00","105"
"786796","occ","","","20639","Mysticeti indet.","suborder","42971","","Mysticeti","suborder","42971","Late Pleistocene","","0.126","0.0117","2018","","","-118.000000","34.000000","gp_mid","-118.00","34.00","105"
"786797","occ","","","84892","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-118.292503","33.736111","gp_mid","","",""
"786806","occ","","","84895","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018","","","-118.275276","33.798611","gp_mid","-118.28","33.80","105"
"786810","occ","","","20624","Mysticeti indet.","suborder","42971","","Mysticeti","suborder","42971","Rancholabrean","","0.3","0.012","2018","","","-117.800003","33.599998","gp_mid","","",""
"786811","occ","","","84896","cf. Tursiops sp.","genus","36865","","Tursiops","genus","36865","Rancholabrean","","0.3","0.012","2018","","","-117.654724","33.503613","gp_mid","","",""
"786812","occ","","","84897","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-117.069725","32.949165","gp_mid","-117.07","32.95","105"
"786815","occ","","","84899","Cetacea indet.","order","36652","","Cetacea","order","36652","Rancholabrean","","0.3","0.012","2018","","","-122.384445","37.745834","gp_mid","-122.38","37.75","105"
"786817","occ","","","20630","Delphinidae indet.","family","42953","","Delphinidae","family","42953","Rancholabrean","","0.3","0.012","2018","","","-120.000000","35.099998","gp_mid","-120.00","35.10","105"
"786819","occ","","","84902","Mysticeti indet.","suborder","42971","","Mysticeti","suborder","42971","Rancholabrean","","0.3","0.012","2018","","","-120.665833","34.929169","gp_mid","","",""
"786934","occ","","","84942","Lissodelphis n. sp. peronii","species","82071","","Lissodelphis peronii","species","82070","Holocene","","0.0117","0","12161","","","146.485199","-43.516487","gp_mid","146.49","-43.52","801"
"786935","occ","","","84943","Lissodelphis n. sp. borealis","species","63572","","Lissodelphis borealis","species","63571","Holocene","","0.0117","0","12161","","","-123.863647","46.185207","gp_mid","-123.86","46.19","129"
"786937","occ","","","67108","Delphinus n. sp. cortesii","species","64535","recombined as","Hemisyntrachelus cortesii","species","64535","Zanclean","","5.333","3.6","18166","","","9.397778","46.319721","gp_mid","10.18","45.39","307"
"786938","occ","","","84944","Delphinus n. sp. brocchii","species","70676","obsolete variant of","Tursiops brocchii","species","87357","Piacenzian","","3.6","2.588","24153","","","9.870000","44.851944","gp_mid","10.43","44.15","307"
"786940","occ","","","84944","Balaena n. sp. cortesii","species","68446","invalid subgroup of","Mysticeti","suborder","42971","Piacenzian","","3.6","2.588","18166","","","9.870000","44.851944","gp_mid","10.43","44.15","307"
"786941","occ","","","84945","Delphinus n. sp. acutidens","species","63972","subjective synonym of","Physeterula dubusi","species","64464","Miocene","","23.03","5.333","23603","","","9.000000","47.854168","gp_mid","10.89","45.26","305"
"786942","occ","","","84946","Beluga fockii","species","136361","nomen dubium","Cetacea","order","36652","Neogene","","23.03","2.588","28509","","","8.560000","51.552776","gp_mid","10.52","49.16","315"
"786943","occ","","","84947","Champsodelphis n. sp. carniolicus","species","68809","recombined as","Delphinodon carniolicus","species","68809","Langhian","","15.97","13.82","15273","","","17.163055","50.279999","gp_mid","18.85","47.32","305"
"786944","occ","23829","","84948","Tretosphys sp. ?","genus","42958","misspelling of, nomen dubium","Odontoceti","suborder","42937","Neogene","","23.03","2.588","34876","","","14.374722","48.917778","gp_mid","15.93","46.41","305"
"786945","occ","","","84949","Champsodelphis sp.","genus","36693","nomen dubium","Odontoceti","suborder","42937","Sarmatian","","12.7","11.608","15273","","","15.873611","45.821388","gp_mid","17.75","42.76","307"
