Eoplatanista,italica
Eoplatanista,gresalensis
Patriocetus,ehrlichii
Hemisyntrachelus,cortesii
Tursiops,brocchii
Etruridelphis,giulii
Mesoplodon,longirostris
Scaldicetus,perpinguis
Hemisyntrachelus,cortesii
Tursiops,osennae
Scaldicetus,inflatus
Scaldicetus,grandis
Schizodelphis,sulcatus
Globicephala,uncidens
Squalodon,imperator
Squalodon,bellunensis
Neosqualodon,gastaldii
Xiphiacetus,cristatus
Squalodon,melitensis
Squalodon,bariensis
Squalodon,servatus
Squalodon,molassicus
Squalodon,bariensis
Delphinodon,dividum
Delphinodon,dividum
Squalodon,tiedemani
Scaldicetus,grandis
Physeterula,dubusi
Squalodelphis,fabianii
Eosqualodon,latirostris
Eoplatanista,gresalensis
Squalodon,dalpiazi
Neosqualodon,assenzae
Neosqualodon,gastaldii
Neosqualodon,gastaldii
Neosqualodon,gastaldii
Titanocetus,sammarinensis
Leptodelphis,stavropolitanus
Otradnocetus,virodovi
Hemisyntrachelus,cortesii
Hemisyntrachelus,cortesii
Etruridelphis,giulii
Etruridelphis,giulii
Balaenotus,insignis
Balaenotus,insignis
Balaenotus,orcianensis
Balaena,montalionis
Hemisyntrachelus,cortesii
Globicephala,etruriae
Kogia,pusilla
Physeter,macrocephalus
Physeter,macrocephalus
Squalodon,melitensis
Schizodelphis,sulcatus
Basilosaurus,isis
Squalodon,protervus
Xiphiacetus,cristatus
Eurhinodelphis,longirostris
Eudelphis,mortezelensis
Messapicetus,longirostris
Heterocetus,brevifrons
Cetotherium,polyporum
Scaldicetus,grandis
Mammalodon,colliveri
Balaenula,astensis
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Delphinapterus,leucas
Phocoena,phocoena
Balaenoptera,physalus
Megaptera,novaeangliae
Megaptera,novaeangliae
Balaena,mysticetus
Scaldicetus,macgeei
Orca,paleorca
Megaptera,novaeangliae
Janjucetus,hunderi
Mammalodon,colliveri
Anoplonassa,forcipata
Eurhinodelphis,cocheteuxi
Eurhinodelphis,cocheteuxi
Idiocetus,guicciardinii
Balaena,pampaea
Notiocetus,romerianus
Amphicetus,later
Cephalotropis,coronatus
Isocetus,depauwi
Phococetus,vasconum
Anacharsis,orbus
Astadelphis,gastaldii
Astadelphis,gastaldii
Etruridelphis,giulii
Hemisyntrachelus,cortesii
Orcinus,citoniensis
Sinanodelphis,izumidaensis
Lomacetus,ginsburgi
Brachydelphis,mazeasi
Heterodelphis,klinderi
Pachyacanthus,suessii
Ischyrorhynchus,vanbenedeni
Saurocetes,argentinus
Prosqualodon,australis
Saurocetes,argentinus
Idiorophus,patagonicus
Cephalotropis,coronatus
Nannocetus,eremus
Scaldicetus,grandis
Scaldicetus,grandis
Leucopleurus,acutus
Parapontoporia,sternbergi
Pontoporia,blainvillii
Delphinus,delphis
Tagicetus,joneti
Xiphiacetus,cristatus
Praemegaptera,pampauensis
Delphinapterus,leucas
Balaena,montalionis
Choneziphius,planirostris
Hemisyntrachelus,cortesii
Orcinus,citoniensis
Choneziphius,planirostris
Pontistes,rectifrons
Mesocetus,agrami
Mesocetus,agrami
Mesocetus,agrami
Mesocetus,agrami
Lagenorhynchus,obliquidens
Delphinus,delphis
Tursiops,truncatus
Pseudorca,crassidens
Globicephala,macrorhynchus
Grampus,griseus
Nannolithax,gracilis
Hemisyntrachelus,cortesii
Megaptera,novaeangliae
Ziphius,cavirostris
Zygorhiza,kochii
Haborophocoena,toyoshimai
Placoziphius,duboisii
