"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"481506","occ","","","48092","Kentriodontidae","family","42938","Tortonian","","11.62","7.246","12873"
"481507","occ","","","48093","Balaena affinis","species","68972","Gelasian","","2.588","1.806","16560"
"481508","occ","","","48093","Balaenidae","family","42978","Gelasian","","2.588","1.806","12874"
"481509","occ","","","48093","Balaenotus insignis","species","64447","Gelasian","","2.588","1.806","12874"
"481510","occ","","","48093","Balaenula balaenopsis","species","68973","Gelasian","","2.588","1.806","12874"
"481511","occ","","","48093","Balaenopteridae","family","42977","Gelasian","","2.588","1.806","16560"
"481512","occ","","","48093","Mysticeti","suborder","42971","Gelasian","","2.588","1.806","12874"
"481513","occ","","","48093","Mysticeti","suborder","42971","Gelasian","","2.588","1.806","12874"
"481514","occ","","","48093","Balaenopteridae","family","42977","Gelasian","","2.588","1.806","16560"
"481515","occ","","","48093","Balaenopteridae","family","42977","Gelasian","","2.588","1.806","12874"
"481516","occ","","","48093","Balaenopteridae","family","42977","Gelasian","","2.588","1.806","12874"
"481517","occ","","","48093","Balaenopteridae","family","42977","Gelasian","","2.588","1.806","16560"
"481518","occ","","","48093","Plesiocetus","genus","36817","Gelasian","","2.588","1.806","12874"
"481519","occ","","","48093","Plesiocetus","genus","36817","Gelasian","","2.588","1.806","12874"
"481521","occ","","","48093","Heterocetus brevifrons","species","70452","Gelasian","","2.588","1.806","12874"
"481522","occ","","","48093","Herpetocetus scaldiensis","species","64450","Gelasian","","2.588","1.806","12874"
"481523","occ","","","48093","Scaldicetus caretti","species","64596","Gelasian","","2.588","1.806","12874"
"481524","occ","","","48093","Scaldicetus caretti","species","64596","Gelasian","","2.588","1.806","12874"
"481525","occ","","","48093","Hoplocetinae","subfamily","63533","Gelasian","","2.588","1.806","12874"
"481526","occ","","","48093","Scaldicetus grandis","species","64626","Gelasian","","2.588","1.806","12874"
"481527","occ","","","48093","Scaldicetus caretti","species","64596","Gelasian","","2.588","1.806","12874"
"481528","occ","","","48093","Hoplocetus crassidens","species","64696","Gelasian","","2.588","1.806","12874"
"481529","occ","","","48093","Hoplocetus borgerhoutensis","species","69222","Gelasian","","2.588","1.806","12874"
