"Lagenorhynchus albirostris","species","Holocene"
"Lagenorhynchus albirostris","species","Holocene"
"Lagenorhynchus australis","species","Holocene"
"Lagenorhynchus australis","species","Holocene"
"Lagenorhynchus australis","species","Holocene"
"Lagenorhynchus obliquidens","species","Holocene"
"Lagenorhynchus obliquidens","species","Holocene"
"Lagenorhynchus cruciger","species","Holocene"
"Lagenorhynchus cruciger","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis peronii","species","Holocene"
"Lissodelphis borealis","species","Holocene"
"Lissodelphis borealis","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Grampus griseus","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Peponocephala electra","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Feresa attenuata","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Pseudorca crassidens","species","Holocene"
"Orcinus orca","species","Holocene"
"Orcinus orca","species","Holocene"
"Orcinus orca","species","Holocene"
"Orcinus orca","species","Holocene"
"Orcinus orca","species","Holocene"
