"Steno bredanensis","species","0.0117","0","54984"
"Sousa teuszii","species","0.0117","0","54986"
"Tursiops truncatus","species","0.0117","0","55061"
"Tursiops truncatus","species","0.0117","0","55061"
"Tursiops truncatus","species","0.0117","0","55061"
"Tursiops truncatus","species","0.0117","0","55061"
"Tursiops truncatus","species","0.0117","0","55061"
"Stenella attenuata","species","0.0117","0","55062"
"Stenella attenuata","species","0.0117","0","55062"
"Stenella attenuata","species","0.0117","0","55062"
"Stenella attenuata","species","0.0117","0","55062"
"Stenella attenuata","species","0.0117","0","55062"
"Stenella attenuata","species","0.0117","0","55062"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Delphinus delphis","species","0.0117","0","55063"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenodelphis hosei","species","0.0117","0","55075"
"Lagenorhynchus albirostris","species","0.0117","0","55077"
"Lagenorhynchus albirostris","species","0.0117","0","55077"
"Lagenorhynchus albirostris","species","0.0117","0","55077"
"Lagenorhynchus australis","species","0.0117","0","55077"
"Lagenorhynchus australis","species","0.0117","0","55077"
"Lagenorhynchus australis","species","0.0117","0","55077"
"Lagenorhynchus obliquidens","species","0.0117","0","55077"
"Lagenorhynchus obliquidens","species","0.0117","0","55077"
"Lagenorhynchus cruciger","species","0.0117","0","55077"
"Lagenorhynchus cruciger","species","0.0117","0","55077"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis peronii","species","0.0117","0","55078"
"Lissodelphis borealis","species","0.0117","0","55078"
"Lissodelphis borealis","species","0.0117","0","55078"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Grampus griseus","species","0.0117","0","55079"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Peponocephala electra","species","0.0117","0","25906"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Feresa attenuata","species","0.0117","0","55081"
"Pseudorca crassidens","species","0.0117","0","55081"
